page,table,cells
4,MA... SERIES MONOBLOC GEARBOX PRICE LIST(€),"MA ….904 | 8.762,00 € | 8.878,00 € | 9.209,00 € | 10.143,00 € | 1.119,00 €"
4,MA... SERIES MONOBLOC GEARBOX PRICE LIST(€),"MA…1002 | 9.735,00 € | 9.967,00 € | 10.788,00 € | 11.107,00 € | 1.247,00 €"
4,MA... SERIES MONOBLOC GEARBOX PRICE LIST(€),"MA…1003 | 10.574,00 € | 10.570,00 € | 11.391,00 € | 11.944,00 € | 1.247,00 €"
4,MA... SERIES MONOBLOC GEARBOX PRICE LIST(€),"MA…1004 | 11.030,00 € | 10.841,00 € | 11.663,00 € | 12.451,00 € | 1.247,00 €"
4,MA... SERIES MONOBLOC GEARBOX PRICE LIST(€),"MA…1102 | 11.590,00 € | 12.099,00 € | 12.657,00 € | 14.283,00 € | 1.858,00 €"
4,MA... SERIES MONOBLOC GEARBOX PRICE LIST(€),"MA…1103 | 12.514,00 € | 13.156,00 € | 13.477,00 € | 15.420,00 € | 1.858,00 €"
4,MA... SERIES MONOBLOC GEARBOX PRICE LIST(€),"MA…1104 | 13.024,00 € | 13.681,00 € | 13.812,00 € | 16.000,00 € | 1.858,00 €"
4,MA... SERIES MONOBLOC GEARBOX PRICE LIST(€),"MA…1202 | 15.210,00 € | 14.742,00 € | 15.148,00 € | 17.451,00 € | 2.100,00 €"
4,MA... SERIES MONOBLOC GEARBOX PRICE LIST(€),"MA…1203 | 16.543,00 € | 16.140,00 € | 16.493,00 € | 18.926,00 € | 2.100,00 €"
4,MA... SERIES MONOBLOC GEARBOX PRICE LIST(€),"MA…1204 | 17.096,00 € | 16.734,00 € | 17.054,00 € | 19.574,00 € | 2.100,00 €"
4,MK... SERIES (BEVEL HELICAL) MONOBLOC GEARBOX PRIC,GEARBOX TYPE | HOLLOW SHAFT (MK…G..) | OUTPUT SHAFT (MK…SL/SR) | DOUBLE OUTPUT SHAFT (MK…SD) | SHRINK DISC (MK…SDL/SDR) | OUTPUT FLANGE (MK…FL/FR)
4,MK... SERIES (BEVEL HELICAL) MONOBLOC GEARBOX PRIC,"MK ….403 | 3.368,00 € | 3.453,00 € | 3.530,00 € | 3.912,00 € | 496,00 €"
4,MK... SERIES (BEVEL HELICAL) MONOBLOC GEARBOX PRIC,"MK ….404 | 3.474,00 € | 3.555,00 € | 3.636,00 € | 4.001,00 € | 496,00 €"
4,MK... SERIES (BEVEL HELICAL) MONOBLOC GEARBOX PRIC,"MK ….503 | 4.008,00 € | 4.175,00 € | 4.197,00 € | 4.704,00 € | 587,00 €"
4,MK... SERIES (BEVEL HELICAL) MONOBLOC GEARBOX PRIC,"MK ….504 | 4.129,00 € | 4.293,00 € | 4.321,00 € | 4.857,00 € | 587,00 €"
4,MK... SERIES (BEVEL HELICAL) MONOBLOC GEARBOX PRIC,"MK ….603 | 4.756,00 € | 4.779,00 € | 4.993,00 € | 5.537,00 € | 608,00 €"
4,MK... SERIES (BEVEL HELICAL) MONOBLOC GEARBOX PRIC,"MK ….604 | 4.912,00 € | 4.946,00 € | 5.160,00 € | 5.678,00 € | 608,00 €"
4,MK... SERIES (BEVEL HELICAL) MONOBLOC GEARBOX PRIC,"MK ….703 | 5.890,00 € | 5.922,00 € | 6.218,00 € | 6.774,00 € | 942,00 €"
4,MK... SERIES (BEVEL HELICAL) MONOBLOC GEARBOX PRIC,"MK ….704 | 6.132,00 € | 6.156,00 € | 6.371,00 € | 7.040,00 € | 942,00 €"
4,MK... SERIES (BEVEL HELICAL) MONOBLOC GEARBOX PRIC,"MK ….803 | 7.446,00 € | 7.607,00 € | 8.084,00 € | 8.477,00 € | 1.017,00 €"
4,MK... SERIES (BEVEL HELICAL) MONOBLOC GEARBOX PRIC,"MK ….804 | 7.593,00 € | 7.754,00 € | 8.231,00 € | 8.743,00 € | 1.017,00 €"
4,MK... SERIES (BEVEL HELICAL) MONOBLOC GEARBOX PRIC,"MK ….903 | 9.165,00 € | 9.535,00 € | 10.061,00 € | 10.817,00 € | 1.119,00 €"
4,MK... SERIES (BEVEL HELICAL) MONOBLOC GEARBOX PRIC,"MK ….904 | 9.611,00 € | 9.934,00 € | 10.252,00 € | 11.305,00 € | 1.119,00 €"
4,MK... SERIES (BEVEL HELICAL) MONOBLOC GEARBOX PRIC,"MK ….1003 | 11.342,00 € | 11.622,00 € | 12.444,00 € | 13.024,00 € | 1.247,00 €"
4,MK... SERIES (BEVEL HELICAL) MONOBLOC GEARBOX PRIC,"MK ….1004 | 11.812,00 € | 11.835,00 € | 12.725,00 € | 13.603,00 € | 1.247,00 €"
4,MK... SERIES (BEVEL HELICAL) MONOBLOC GEARBOX PRIC,"MK ….1103 | 13.370,00 € | 14.500,00 € | 14.733,00 € | 16.874,00 € | 1.858,00 €"
4,MK... SERIES (BEVEL HELICAL) MONOBLOC GEARBOX PRIC,"MK ….1104 | 13.917,00 € | 15.016,00 € | 15.381,00 € | 17.476,00 € | 1.858,00 €"
4,MK... SERIES (BEVEL HELICAL) MONOBLOC GEARBOX PRIC,"MK ….1203 | 17.344,00 € | 17.382,00 € | 17.247,00 € | 20.316,00 € | 2.100,00 €"
4,MK... SERIES (BEVEL HELICAL) MONOBLOC GEARBOX PRIC,"MK ….1204 | 18.078,00 € | 18.283,00 € | 18.158,00 € | 21.289,00 € | 2.100,00 €"
5,MK SERIES WITH AUXILIARY DRIVES PRICE LIST(€),GEARBOX TYPE | HOLLOW SHAFT (MK…G..) | OUTPUT SHAFT (MK…SL/SR) | SHRINK DISC (MK…SDL/SDR)
5,MK SERIES WITH AUXILIARY DRIVES PRICE LIST(€),"MK 403 - İRK 63 / 90 L4a | 6.036,00 € | 6.122,00 € | 6.605,00 €"
5,MK SERIES WITH AUXILIARY DRIVES PRICE LIST(€),"MK 503 - İRK 73 / 100 L4b | 7.487,00 € | 7.664,00 € | 8.233,00 €"
5,MK SERIES WITH AUXILIARY DRIVES PRICE LIST(€),"MK 603 - İRK 73 / 112 M4a | 8.332,00 € | 8.391,00 € | 9.172,00 €"
5,MK SERIES WITH AUXILIARY DRIVES PRICE LIST(€),"MK 703 - İRK 83 / 132 S4a | 11.165,00 € | 11.218,00 € | 12.386,00 €"
5,MK SERIES WITH AUXILIARY DRIVES PRICE LIST(€),"MK 803 - İRK 83 / 132 S4a | 12.590,00 € | 12.642,00 € | 13.979,00 €"
5,MK SERIES WITH AUXILIARY DRIVES PRICE LIST(€),"MK903 - İRK 93 / 132 M4a | 15.579,00 € | 15.914,00 € | 17.275,00 €"
5,MK SERIES WITH AUXILIARY DRIVES PRICE LIST(€),"MK 1003 - İRK 93 / 132 M4a | 17.654,00 € | 17.701,00 € | 19.460,00 €"
5,MK SERIES WITH AUXILIARY DRIVES PRICE LIST(€),"MK 1103 - İRK 103 / 160 M4b | 22.645,00 € | 23.772,00 € | 26.141,00 €"
5,MK SERIES WITH AUXILIARY DRIVES PRICE LIST(€),"MK 1203 - İRK 103 / 160 L4a | 25.595,00 € | 26.567,00 € | 29.543,00 €"
6,MAE... SERIES EXTRUDER TYPE MONOBLOC GEARBOX PRICE,STANDART EXTRUDER FLANGE | OPTIONAL EXTRUDER FLANGE
6,MAE... SERIES EXTRUDER TYPE MONOBLOC GEARBOX PRICE,GEARBOX TYPE | EXTRUDER BEARING | PRICE (€) | GEARBOX TYPE | EXTRUDER BEARING | PRICE (€)
6,MAE... SERIES EXTRUDER TYPE MONOBLOC GEARBOX PRICE,"MAE ….402 | 29420 | 3.546,00 € | MAE ….402 | - | -"
6,MAE... SERIES EXTRUDER TYPE MONOBLOC GEARBOX PRICE,"MAE ….403 | 3.865,00 € | MAE ….403 | -"
6,MAE... SERIES EXTRUDER TYPE MONOBLOC GEARBOX PRICE,"MAE ….502 | 29424 | 4.594,00 € | MAE ….502 | 29420 | 4.367,00 €"
6,MAE... SERIES EXTRUDER TYPE MONOBLOC GEARBOX PRICE,"MAE ….503 | 4.908,00 € | MAE ….503 | 4.689,00 €"
6,MAE... SERIES EXTRUDER TYPE MONOBLOC GEARBOX PRICE,"MAE ….602 | 29428 | 5.357,00 € | MAE ….602 | - | -"
6,MAE... SERIES EXTRUDER TYPE MONOBLOC GEARBOX PRICE,"MAE ….603 | 5.712,00 € | MAE ….603 | -"
6,MAE... SERIES EXTRUDER TYPE MONOBLOC GEARBOX PRICE,"MAE ….702 | 29430 | 6.467,00 € | MAE ….702 | 29424 | 6.356,00 €"
6,MAE... SERIES EXTRUDER TYPE MONOBLOC GEARBOX PRICE,"MAE ….703 | 6.880,00 € | MAE ….703 | 6.788,00 €"
6,MAE... SERIES EXTRUDER TYPE MONOBLOC GEARBOX PRICE,"MAE ….704 | 6.532,00 € | MAE ….704 | 6.900,00 €"
6,MAE... SERIES EXTRUDER TYPE MONOBLOC GEARBOX PRICE,"MAE ….802 | 29434 | 8.790,00 € | MAE ….802 | - | -"
6,MAE... SERIES EXTRUDER TYPE MONOBLOC GEARBOX PRICE,"MAE ….803 | 9.241,00 € | MAE ….803 | -"
6,MAE... SERIES EXTRUDER TYPE MONOBLOC GEARBOX PRICE,"MAE ….804 | 9.441,00 € | MAE ….804 | -"
6,MAE... SERIES EXTRUDER TYPE MONOBLOC GEARBOX PRICE,"MAE ….902 | 29436 | 11.506,00 € | MAE ….902 | 29430 | 10.251,00 €"
6,MAE... SERIES EXTRUDER TYPE MONOBLOC GEARBOX PRICE,"MAE ….903 | 12.234,00 € | MAE ….903 | 10.989,00 €"
6,MAE... SERIES EXTRUDER TYPE MONOBLOC GEARBOX PRICE,"MAE ….904 | 12.558,00 € | MAE ….904 | 11.285,00 €"
6,MAE... SERIES EXTRUDER TYPE MONOBLOC GEARBOX PRICE,"MAE…1002 | 29440 | 14.341,00 € | MAE…1002 | - | -"
6,MAE... SERIES EXTRUDER TYPE MONOBLOC GEARBOX PRICE,"MAE…1003 | 15.164,00 € | MAE…1003 | -"
6,MAE... SERIES EXTRUDER TYPE MONOBLOC GEARBOX PRICE,"MAE…1004 | 15.523,00 € | MAE…1004 | -"
6,MAE... SERIES EXTRUDER TYPE MONOBLOC GEARBOX PRICE,"MAE…1102 | 29444 | 17.168,00 € | MAE…1102 | 29344 | 16.575,00 €"
6,MAE... SERIES EXTRUDER TYPE MONOBLOC GEARBOX PRICE,"MAE…1103 | 18.333,00 € | MAE…1103 | 17.667,00 €"
6,MAE... SERIES EXTRUDER TYPE MONOBLOC GEARBOX PRICE,"MAE…1104 | 18.919,00 € | MAE…1104 | 18.192,00 €"
6,MAE... SERIES EXTRUDER TYPE MONOBLOC GEARBOX PRICE,"MAE…1202 | 29448 | 21.152,00 € | MAE…1202 | - | -"
6,MAE... SERIES EXTRUDER TYPE MONOBLOC GEARBOX PRICE,"MAE…1203 | 22.583,00 € | MAE…1203 | -"
6,MAE... SERIES EXTRUDER TYPE MONOBLOC GEARBOX PRICE,"MAE…1204 | 23.147,00 € | MAE…1204 | -"
6,MKE... SERIES (BEVEL HELICAL)EXTRUDER TYPE MONOBLO,STANDART EXTRUDER FLANGE | OPTIONAL EXTRUDER FLANGE
6,MKE... SERIES (BEVEL HELICAL)EXTRUDER TYPE MONOBLO,GEARBOX TYPE | EXTRUDER BEARING | PRICE (€) | GEARBOX TYPE | EXTRUDER BEARING | PRICE (€)
6,MKE... SERIES (BEVEL HELICAL)EXTRUDER TYPE MONOBLO,"MKE ….403 | 29420 | 4.454,00 € | MKE…. 403 | - | -"
6,MKE... SERIES (BEVEL HELICAL)EXTRUDER TYPE MONOBLO,"MKE ….503 | 29424 | 5.417,00 € | MKE ….503 | 29420 | 4.757,00 €"
6,MKE... SERIES (BEVEL HELICAL)EXTRUDER TYPE MONOBLO,"MKE ….603 | 29428 | 6.355,00 € | MKE ….603 | - | -"
