currency,series,page,power_kw,power_hp,output_rpm,type_full,gearbox,motor,price_foot,price_flange
TL,İRKM,25,2.2,3,"9,9-18",İRKM 103 / 100 L4a,İRKM 103,100 L4a,114777.00,120011.00
TL,İRKM,25,2.2,3,"6,4-7,2",İRKM 94 / 100 L4a,İRKM 94,100 L4a,94527.00,97025.00
TL,İRKM,25,2.2,3,10-33,İRKM 93 / 100 L4a,İRKM 93,100 L4a,83701.00,86199.00
TL,İRKM,25,2.2,3,12-63,İRKM 83 / 100 L4a,İRKM 83,100 L4a,63986.00,65487.00
TL,İRKM,25,2.2,3,27-256,İRKM 73 / 100 L4a,İRKM 73,100 L4a,46565.00,47698.00
TL,İRKM,25,2.2,3,45-276,İRKM 63 / 100 L4a,İRKM 63,100 L4a,33295.00,34323.00
TL,İRKM,25,2.2,3,63,İRKPM 53 / 100 L4a(*P),İRKPM 53,100 L4a(*P),30419.00,31372.00
TL,İRKM,25,2.2,3,71-89,İRKM 53 / 100 L4a,İRKM 53,100 L4a,28834.00,29787.00
TL,İRKM,25,2.2,3,98-192,İRKPM 52 / 100 L4a(*P),İRKPM 52,100 L4a(*P),29812.00,30765.00
TL,İRKM,25,2.2,3,217-324,İRKM 52 / 100 L4a,İRKM 52,100 L4a,28640.00,29593.00
TL,İRKM,25,2.2,3,63,İRKPM 43 / 100 L4a(*P),İRKPM 43,100 L4a(*P),30157.00,31110.00
TL,İRKM,25,2.2,3,71-89,İRKM 43 / 100 L4a,İRKM 43,100 L4a,28586.00,29539.00
TL,İRKM,25,2.2,3,98-192,İRKPM 42 / 100 L4a(*P),İRKPM 42,100 L4a(*P),29543.00,30496.00
TL,İRKM,25,2.2,3,217-324,İRKM 42 / 100 L4a,İRKM 42,100 L4a,27945.00,28898.00
TL,İRKM,26,3.0,,"1,0-3,8",İRKM 153 İR 93 / 100 L4b,İRKM 153 İR 93,100 L4b,404506.00,421543.00
TL,İRKM,26,3.0,4,"1,8-4,0",İRKM 153 İR 92 / 100 L4b,İRKM 153 İR 92,100 L4b,400681.00,417718.00
TL,İRKM,26,3.0,4,"2,6-4,5",İRKPM 154 / 100 L4b(*P),İRKPM 154,100 L4b(*P),387855.00,404892.00
TL,İRKM,26,3.0,4,"2,5-8,5",İRKM 143 İR 82 / 100 L4b,İRKM 143 İR 82,100 L4b,302403.00,315182.00
TL,İRKM,26,3.0,4,"1,8-8,2",İRKM 143 İR 72 / 100 L4b,İRKM 143 İR 72,100 L4b,282565.00,295344.00
TL,İRKM,26,3.0,4,"2,1-6,5",İRKPM 144 / 100 L4b(*P),İRKPM 144,100 L4b(*P),267052.00,279831.00
TL,İRKM,26,3.0,4,"5,8",İRKPM 143 / 132 S6b(*P),İRKPM 143,132 S6b(*P),262353.00,275132.00
TL,İRKM,26,3.0,4,"6,6-8,1",İRKM 143 / 132 S6b,İRKM 143,132 S6b,254713.00,267492.00
TL,İRKM,26,3.0,4,"3,1-12",İRKM 123 İR 72 / 100 L4b,İRKM 123 İR 72,100 L4b,195073.00,202682.00
TL,İRKM,26,3.0,4,"2,7-3,3",İRKM 124 / 132 S6b,İRKM 124,132 S6b,189441.00,197050.00
TL,İRKM,26,3.0,4,"3,1-9,8",İRKPM 124 / 100 L4b(*P),İRKPM 124,100 L4b(*P),181932.00,189541.00
TL,İRKM,26,3.0,4,"6,1-7,0",İRKPM 123 / 132 S6b(*P),İRKPM 123,132 S6b(*P),179252.00,186861.00
TL,İRKM,26,3.0,4,"7,9-8,8",İRKM 123 / 132 S6b,İRKM 123,132 S6b,173192.00,180801.00
TL,İRKM,26,3.0,4,"9,6-14",İRKPM 123 / 100 L4b(*P),İRKPM 123,100 L4b(*P),174916.00,182525.00
TL,İRKM,26,3.0,4,"5,4-6,6",İRKM 103 İR 62 / 100 L4b,İRKM 103 İR 62,100 L4b,143311.00,148545.00
TL,İRKM,26,3.0,4,"6,3-8,7",İRKM 104 / 100 L4b,İRKM 104,100 L4b,133140.00,138374.00
TL,İRKM,26,3.0,4,"9,9-31",İRKM 103 / 100 L4b,İRKM 103,100 L4b,116614.00,121848.00
TL,İRKM,26,3.0,4,10-42,İRKM 93 / 100 L4b,İRKM 93,100 L4b,85635.00,88133.00
TL,İRKM,26,3.0,4,15-90,İRKM 83 / 100 L4b,İRKM 83,100 L4b,65824.00,67325.00
TL,İRKM,26,3.0,4,27-256,İRKM 73 / 100 L4b,İRKM 73,100 L4b,48461.00,49594.00
TL,İRKM,26,3.0,4,62-276,İRKM 63 / 100 L4b,İRKM 63,100 L4b,35099.00,36127.00
TL,İRKM,26,3.0,4,79-89,İRKM 53 / 100 L4b,İRKM 53,100 L4b,30956.00,31909.00
TL,İRKM,26,3.0,4,114-192,İRKPM 52 / 100 L4b(*P),İRKPM 52,100 L4b(*P),32363.00,33316.00
TL,İRKM,26,3.0,4,217-324,İRKM 52 / 100 L4b,İRKM 52,100 L4b,30673.00,31626.00
TL,İRKM,26,3.0,4,79-89,İRKM 43 / 100 L4b,İRKM 43,100 L4b,31911.00,32864.00
TL,İRKM,26,3.0,4,114-192,İRKPM 42 / 100 L4b(*P),İRKPM 42,100 L4b(*P),31298.00,32251.00
TL,İRKM,26,3.0,4,217-324,İRKM 42 / 100 L4b,İRKM 42,100 L4b,29667.00,30620.00
TL,İRKM,26,4.0,4,"1,5-4,6",İRKM 153 İR 93 / 112 M4b,İRKM 153 İR 93,112 M4b,404628.00,421665.00
TL,İRKM,26,4.0,5.5,"1,8-5,7",İRKM 153 İR 92 / 112 M4b,İRKM 153 İR 92,112 M4b,404185.00,421222.00
TL,İRKM,26,4.0,5.5,"2,6-6,0",İRKM 154 / 112 M4b(*P),İRKM 154,112 M4b(*P),391483.00,408520.00
TL,İRKM,26,4.0,5.5,"2,5-10",İRKM 143 İR 82 / 112 M4b,İRKM 143 İR 82,112 M4b,305417.00,318196.00
TL,İRKM,26,4.0,5.5,"2,6-10",İRKM 143 İR 72 / 112 M4b,İRKM 143 İR 72,112 M4b,285702.00,298481.00
TL,İRKM,26,4.0,5.5,"2,8-8,8",İRKPM 144 / 112 M4b(*P),İRKPM 144,112 M4b(*P),272011.00,284790.00
TL,İRKM,26,4.0,5.5,"5,8",İRKPM 143 / 132 M6a(*P),İRKPM 143,132 M6a(*P),269399.00,282178.00
TL,İRKM,26,4.0,5.5,"6,6-8,1",İRKM 143 / 132 M6a,İRKM 143,132 M6a,261552.00,274331.00
TL,İRKM,26,4.0,5.5,"3,5-9,8",İRKPM 124 / 112 M4b(*P),İRKPM 124,112 M4b(*P),186387.00,193996.00
TL,İRKM,26,4.0,5.5,"7,9-8,8",İRKM 123 / 132 M6a,İRKM 123,132 M6a,175305.00,182914.00
TL,İRKM,26,4.0,5.5,"9,6-18",İRKPM 123 / 112 M4b(*P),İRKPM 123,112 M4b(*P),172796.00,180405.00
TL,İRKM,26,4.0,5.5,"6,6",İRKM 103 İR 62 / 112 M4b,İRKM 103 İR 62,112 M4b,147133.00,152367.00
TL,İRKM,26,4.0,5.5,"7,9-8,7",İRKM 104 / 112 M4b,İRKM 104,112 M4b,137278.00,142512.00
TL,İRKM,26,4.0,5.5,"9,9-46",İRKM 103 / 112 M4b,İRKM 103,112 M4b,120241.00,125475.00
TL,İRKM,26,4.0,5.5,13-56,İRKM 93 / 112 M4b,İRKM 93,112 M4b,89213.00,91711.00
TL,İRKM,26,4.0,5.5,23-304,İRKM 83 / 112 M4b,İRKM 83,112 M4b,69441.00,70942.00
TL,İRKM,26,4.0,5.5,40-256,İRKM 73 / 112 M4b,İRKM 73,112 M4b,51977.00,53110.00
TL,İRKM,26,4.0,5.5,210-276,İRKM 63 / 112 M4b,İRKM 63,112 M4b,38344.00,39372.00
TL,İRKM,27,5.5,,"2,1-4,6",İRKM 153 İR 93 / C112 M4b(*C),İRKM 153 İR 93,C112 M4b(*C),411290.00,428327.00
TL,İRKM,27,5.5,7.5,"2,3-6,9",İRKM 153 İR 92 / C112 M4b(*C),İRKM 153 İR 92,C112 M4b(*C),407698.00,424735.00
TL,İRKM,27,5.5,7.5,"3,5-10",İRKM 143 İR 82 / C112 M4b(*C),İRKM 143 İR 82,C112 M4b(*C),307087.00,319866.00
TL,İRKM,27,5.5,7.5,"3,6-10",İRKM 143 İR 72 / C112 M4b(*C),İRKM 143 İR 72,C112 M4b(*C),287074.00,319910.00
TL,İRKM,27,5.5,7.5,"4,8-12",İRKM 123 İR 72 / C112 M4b(*C),İRKM 123 İR 72,C112 M4b(*C),194696.00,202305.00
TL,İRKM,27,5.5,7.5,"5,1-9,8",İRKM 124 / C112 M4b(*C),İRKM 124,C112 M4b(*C),189578.00,197187.00
TL,İRKM,27,5.5,7.5,15-56,İRKM 103 / C112 M4b(*C),İRKM 103,C112 M4b(*C),123285.00,128519.00
TL,İRKM,27,5.5,7.5,21-101,İRKM 93 / C112 M4b(*C),İRKM 93,C112 M4b(*C),92215.00,94713.00
TL,İRKM,27,5.5,7.5,33-304,İRKM 83 / C112 M4b(*C),İRKM 83,C112 M4b(*C),72538.00,74039.00
TL,İRKM,27,5.5,7.5,80-256,İRKM 73 / C112 M4b(*C),İRKM 73,C112 M4b(*C),55006.00,56139.00
TL,İRKM,27,5.5,7.5,"2,1-4,6",İRKM 153 İR 93 / 132 S4c,İRKM 153 İR 93,132 S4c,413167.00,430204.00
TL,İRKM,27,5.5,7.5,"2,3-6,9",İRKM 153 İR 92 / 132 S4c,İRKM 153 İR 92,132 S4c,409525.00,426562.00
TL,İRKM,27,5.5,7.5,"2,6-9,0",İRKM 154 / 132 S4c,İRKM 154,132 S4c,396683.00,413720.00
TL,İRKM,27,5.5,7.5,"6,4-10",İRKM 153 / 132 M6b,İRKM 153,132 M6b,374678.00,391715.00
TL,İRKM,27,5.5,7.5,"3,5-10",İRKM 143 İR 82 / 132 S4c,İRKM 143 İR 82,132 S4c,308913.00,321692.00
TL,İRKM,27,5.5,7.5,"3,6-10",İRKM 143 İR 72 / 132 S4c,İRKM 143 İR 72,132 S4c,288856.00,301635.00
TL,İRKM,27,5.5,7.5,"3,2-8,8",İRKM 144 / 132 S4c,İRKM 144,132 S4c,277765.00,290544.00
TL,İRKM,27,5.5,7.5,"5,8",İRKPM 143 / 132 M6b(*P),İRKPM 143,132 M6b(*P),278072.00,290851.00
TL,İRKM,27,5.5,7.5,"6,6-8,1",İRKM 143 / 132 M6b,İRKM 143,132 M6b,266097.00,278876.00
TL,İRKM,27,5.5,7.5,"9,1",İRKPM 143 / 132 S4c(*P),İRKPM 143,132 S4c(*P),277464.00,290243.00
TL,İRKM,27,5.5,7.5,10-13,İRKM 143 / 132 S4c,İRKM 143,132 S4c,265514.00,278293.00
TL,İRKM,27,5.5,7.5,"4,8-12",İRKM 123 İR 72 / 132 S4c,İRKM 123 İR 72,132 S4c,196478.00,204087.00
TL,İRKM,27,5.5,7.5,"5,1-9,8",İRKM 124 / 132 S4c,İRKM 124,132 S4c,191404.00,199013.00
TL,İRKM,27,5.5,7.5,"7,9-8,8",İRKM 123 / 132 M6b,İRKM 123,132 M6b,180255.00,187864.00
TL,İRKM,27,5.5,7.5,"9,6-11",İRKPM 123 / 132 S4c(*P),İRKPM 123,132 S4c(*P),183528.00,191137.00
TL,İRKM,27,5.5,7.5,12-20,İRKM 123 / 132 S4c,İRKM 123,132 S4c,175624.00,183233.00
TL,İRKM,27,5.5,7.5,15-56,İRKM 103 / 132 S4c,İRKM 103,132 S4c,125162.00,130396.00
TL,İRKM,27,5.5,7.5,21-101,İRKM 93 / 132 S4c,İRKM 93,132 S4c,94041.00,96539.00
TL,İRKM,27,5.5,7.5,33-304,İRKM 83 / 132 S4c,İRKM 83,132 S4c,74320.00,75821.00
TL,İRKM,27,5.5,7.5,80-256,İRKM 73 / 132 S4c,İRKM 73,132 S4c,56763.00,57896.00
TL,İRKM,27,7.5,7.5,"3,3-7,3",İRKM 153 İR 102 / 132 M4b,İRKM 153 İR 102,132 M4b,439511.00,456548.00
TL,İRKM,27,7.5,10,"2,6-4,5",İRKM 153 İR 93 / 132 M4b,İRKM 153 İR 93,132 M4b,418010.00,435047.00
TL,İRKM,27,7.5,10,"2,9-6,9",İRKM 153 İR 92 / 132 M4b,İRKM 153 İR 92,132 M4b,414361.00,431398.00
TL,İRKM,27,7.5,10,"2,8-11",İRKM 154 / 132 M4b,İRKM 154,132 M4b,401776.00,418813.00
TL,İRKM,27,7.5,10,"6,4-10",İRKM 153 / 160 M6b,İRKM 153,160 M6b,380531.00,397568.00
TL,İRKM,27,7.5,10,"4,4-10",İRKM 143 İR 82 / 132 M4b,İRKM 143 İR 82,132 M4b,311949.00,324728.00
TL,İRKM,27,7.5,10,"5,6-10",İRKM 143 İR 72 / 132 M4b,İRKM 143 İR 72,132 M4b,291927.00,304706.00
TL,İRKM,27,7.5,10,"4,6-8,8",İRKM 144 / 132 M4b,İRKM 144,132 M4b,282376.00,295155.00
TL,İRKM,27,7.5,10,"7,3-8,1",İRKM 143 / 160 M6b,İRKM 143,160 M6b,279250.00,292029.00
TL,İRKM,27,7.5,10,"9,1",İRKPM 143 / 132 M4b(*P),İRKPM 143,132 M4b(*P),277705.00,290484.00
TL,İRKM,27,7.5,10,10-22,İRKM 143 / 132 M4b,İRKM 143,132 M4b,270603.00,283382.00
TL,İRKM,27,7.5,10,"12,5-38",İRKM 123 / 132 M4b,İRKM 123,132 M4b,179870.00,187479.00
TL,İRKM,27,7.5,10,16-69,İRKM 103 / 132 M4b,İRKM 103,132 M4b,129109.00,134343.00
TL,İRKM,27,7.5,10,22-165,İRKM 93 / 132 M4b,İRKM 93,132 M4b,97943.00,100441.00
TL,İRKM,27,7.5,10,41-205,İRKM 83 / 132 M4b,İRKM 83,132 M4b,78135.00,79636.00
TL,İRKM,27,7.5,10,102-256,İRKM 73 / 132 M4b,İRKM 73,132 M4b,60579.00,61712.00
TL,İRKM,28,11,,"3,7-9,2",İRKM 153 İR 102 / C132M4c(*C),İRKM 153 İR 102,C132M4c(*C),457224.00,474261.00
TL,İRKM,28,11,15,"3,8-4,5",İRKM 153 İR 93 / C132M4c(*C),İRKM 153 İR 93,C132M4c(*C),435579.00,452616.00
TL,İRKM,28,11,15,"4,0-6,9",İRKM 153 İR 92 / C132M4c(*C),İRKM 153 İR 92,C132M4c(*C),431931.00,448968.00
TL,İRKM,28,11,15,"4,1-11",İRKM 154 / C132M4c(*C),İRKM 154,C132M4c(*C),419187.00,436224.00
TL,İRKM,28,11,15,"6,4-10",İRKM 143 İR 82 / C132M4c(*C),İRKM 143 İR 82,C132M4c(*C),323809.00,336588.00
TL,İRKM,28,11,15,"6,9-10",İRKM 143 İR 72 / C132M4c(*C),İRKM 143 İR 72,C132M4c(*C),304057.00,316836.00
TL,İRKM,28,11,15,"6,5-8,8",İRKM 144 / C132M4c(*C),İRKM 144,C132M4c(*C),296083.00,308862.00
TL,İRKM,28,11,15,"9,1-31",İRKM 143 / C132M4c(*C),İRKM 143,C132M4c(*C),279349.00,292128.00
TL,İRKM,28,11,15,14-52,İRKM 123 / C132M4c(*C),İRKM 123,C132M4c(*C),191680.00,196914.00
TL,İRKM,28,11,15,25-117,İRKM 103 / C132M4c(*C),İRKM 103,C132M4c(*C),141762.00,146996.00
TL,İRKM,28,11,15,33-226,İRKM 93 / C132M4c(*C),İRKM 93,C132M4c(*C),110446.00,112944.00
TL,İRKM,28,11,15,123-304,İRKM 83 / C132M4c(*C),İRKM 83,C132M4c(*C),90471.00,91972.00
TL,İRKM,28,11,15,193-256,İRKM 73 / C132M4c(*C),İRKM 73,C132M4c(*C),73910.00,75043.00
TL,İRKM,28,11,15,"3,7-9,2",İRKM 153 İR 102 / 160 M4b,İRKM 153 İR 102,160 M4b,460062.00,477099.00
TL,İRKM,28,11,15,"3,8-4,5",İRKM 153 İR 93 / 160 M4b,İRKM 153 İR 93,160 M4b,438233.00,455270.00
TL,İRKM,28,11,15,"4,0-6,9",İRKM 153 İR 92 / 160 M4b,İRKM 153 İR 92,160 M4b,434585.00,451622.00
TL,İRKM,28,11,15,"4,1-11",İRKM 154 / 160 M4b,İRKM 154,160 M4b,422025.00,439062.00
TL,İRKM,28,11,15,"6,4-10",İRKM 153 / 160 L6a,İRKM 153,160 L6a,386563.00,403600.00
TL,İRKM,28,11,15,10-16,İRKM 153 / 160 M4b,İRKM 153,160 M4b,383858.00,400895.00
TL,İRKM,28,11,15,"6,4-10",İRKM 143 İR 82 / 160 M4b,İRKM 143 İR 82,160 M4b,326405.00,339184.00
TL,İRKM,28,11,15,"6,9-10",İRKM 143 İR 72 / 160 M4b,İRKM 143 İR 72,160 M4b,306609.00,319388.00
TL,İRKM,28,11,15,"6,5-8,8",İRKM 144 / 160 M4b,İRKM 144,160 M4b,298860.00,311639.00
TL,İRKM,28,11,15,"9,1",İRKPM 143 / 160 M4b(*P),İRKPM 143,160 M4b(*P),294823.00,307602.00
TL,İRKM,28,11,15,11-31,İRKM 143 / 160 M4b,İRKM 143,160 M4b,282126.00,294905.00
TL,İRKM,28,11,15,14-52,İRKM 123 / 160 M4b,İRKM 123,160 M4b,194377.00,201986.00
TL,İRKM,28,11,15,25-117,İRKM 103 / 160 M4b,İRKM 103,160 M4b,144396.00,149630.00
TL,İRKM,28,11,15,33-226,İRKM 93 / 160 M4b,İRKM 93,160 M4b,113042.00,115540.00
TL,İRKM,28,11,15,123-304,İRKM 83 / 160 M4b,İRKM 83,160 M4b,93023.00,94524.00
TL,İRKM,28,15,15,"5,4-12",İRKM 153 İR 102 / 160 L4a,İRKM 153 İR 102,160 L4a,467926.00,484963.00
TL,İRKM,28,15,20,"5,2-11",İRKM 154 / 160 L4a,İRKM 154,160 L4a,425488.00,442525.00
TL,İRKM,28,15,20,10-20,İRKM 153 / 180 L6a,İRKM 153,180 L6a,399104.00,416141.00
TL,İRKM,28,15,20,10-16,İRKM 153 / 160 L4a,İRKM 153,160 L4a,390372.00,407409.00
TL,İRKM,28,15,20,11-42,İRKM 143 / 160 L4a,İRKM 143,160 L4a,289959.00,302738.00
TL,İRKM,28,15,20,14-76,İRKM 123 / 160 L4a,İRKM 123,160 L4a,201668.00,209277.00
TL,İRKM,28,15,20,31-214,İRKM 103 / 160 L4a,İRKM 103,160 L4a,151661.00,156895.00
TL,İRKM,28,15,20,59-226,İRKM 93 / 160 L4a,İRKM 93,160 L4a,119840.00,122338.00
TL,İRKM,28,15,20,123-226,İRKM 83 / 160 L4a,İRKM 83,160 L4a,99953.00,101454.00
TL,İRKM,28,18.5,20,"6,4-13",İRKM 153 İR 102 / C160 L4b(*C),İRKM 153 İR 102,C160 L4b(*C),476544.00,493581.00
TL,İRKM,28,18.5,25,"8,1-11",İRKM 154 / C160 L4b(*C),İRKM 154,C160 L4b(*C),434013.00,451050.00
TL,İRKM,28,18.5,25,11-33,İRKM 153 / C160 L4b(*C),İRKM 153,C160 L4b(*C),400393.00,417430.00
TL,İRKM,28,18.5,25,15-58,İRKM 143 / C160 L4b(*C),İRKM 143,C160 L4b(*C),298623.00,311402.00
TL,İRKM,28,18.5,25,18-105,İRKM 123 / C160 L4b(*C),İRKM 123,C160 L4b(*C),210118.00,217727.00
TL,İRKM,28,18.5,25,34-214,İRKM 103 / C160 L4b(*C),İRKM 103,C160 L4b(*C),160559.00,165793.00
TL,İRKM,28,18.5,25,67-226,İRKM 93 / C160 L4b(*C),İRKM 93,C160 L4b(*C),123815.00,126313.00
TL,İRKM,28,18.5,25,150-304,İRKM 83 / C160 L4b(*C),İRKM 83,C160 L4b(*C),110947.00,112448.00
TL,İRKM,29,18.5,,"6,4-13",İRKM 153 İR 102 / 180 M4b,İRKM 153 İR 102,180 M4b,480602.00,497639.00
TL,İRKM,29,18.5,25,"8,1-11",İRKM 154 / 180 M4b,İRKM 154,180 M4b,438071.00,455108.00
TL,İRKM,29,18.5,25,"9,1-10",İRKM 153 / 200 L6a,İRKM 153,200 L6a,416297.00,433334.00
TL,İRKM,29,18.5,25,11-33,İRKM 153 / 180 M4b,İRKM 153,180 M4b,404733.00,421770.00
TL,İRKM,29,18.5,25,15-58,İRKM 143 / 180 M4b,İRKM 143,180 M4b,302812.00,315591.00
TL,İRKM,29,18.5,25,18-20,İRKPM 123 / 180 M4b(*P),İRKPM 123,180 M4b(*P),224885.00,232494.00
TL,İRKM,29,18.5,25,22-105,İRKM 123 / 180 M4b,İRKM 123,180 M4b,214176.00,221785.00
TL,İRKM,29,18.5,25,34-214,İRKM 103 / 180 M4b,İRKM 103,180 M4b,164422.00,169656.00
TL,İRKM,29,18.5,25,67-75,İRKPM 93 / 180 M4b(*P),İRKPM 93,180 M4b(*P),139930.00,142428.00
TL,İRKM,29,18.5,25,83-226,İRKM 93 / 180 M4b,İRKM 93,180 M4b,132635.00,135133.00
TL,İRKM,29,22,25,"8,2-13",İRKPM 153 İR 102 / 180 L4b,İRKPM 153 İR 102,180 L4b,484011.00,501048.00
TL,İRKM,29,22,30,"8,1-11",İRKM 154 / 180 L4b,İRKM 154,180 L4b,443064.00,460101.00
TL,İRKM,29,22,30,"9,1-10",İRKM 153 / 200 L6b,İRKM 153,200 L6b,421778.00,438815.00
TL,İRKM,29,22,30,11-33,İRKM 153 / 180 L4b,İRKM 153,180 L4b,409445.00,426482.00
TL,İRKM,29,22,30,17-69,İRKM 143 / 180 L4b,İRKM 143,180 L4b,308044.00,320823.00
TL,İRKM,29,22,30,25-172,İRKM 123 / 180 L4b,İRKM 123,180 L4b,218724.00,226333.00
TL,İRKM,29,22,30,42-214,İRKM 103 / 180 L4b,İRKM 103,180 L4b,169094.00,174328.00
TL,İRKM,29,22,30,83-226,İRKM 93 / 180 L4b,İRKM 93,180 L4b,137234.00,139732.00
TL,İRKM,29,30,30,14-48,İRKM 153 / C180 L4b(*C),İRKM 153,C180 L4b(*C),424433.00,441470.00
TL,İRKM,29,30,40,22-76,İRKM 143 / C180 L4b(*C),İRKM 143,C180 L4b(*C),322125.00,334904.00
TL,İRKM,29,30,40,32-172,İRKM 123 / C180 L4b(*C),İRKM 123,C180 L4b(*C),231201.00,238810.00
TL,İRKM,29,30,40,97-214,İRKM 103 / C180 L4b(*C),İRKM 103,C180 L4b(*C),180907.00,186141.00
TL,İRKM,29,30,40,134-226,İRKM 93 / C180 L4b(*C),İRKM 93,C180 L4b(*C),148819.00,151317.00
TL,İRKM,29,30,40,14-48,İRKM 153 / 200 L4c,İRKM 153,200 L4c,433511.00,450548.00
TL,İRKM,29,30,40,22-76,İRKM 143 / 200 L4c,İRKM 143,200 L4c,330368.00,343147.00
TL,İRKM,29,30,40,32-172,İRKM 123 / 200 L4c,İRKM 123,200 L4c,239156.00,246765.00
TL,İRKM,29,30,40,97-214,İRKM 103 / 200 L4c,İRKM 103,200 L4c,188700.00,193934.00
TL,İRKM,29,37,40,16-59,İRKM 153 / C200 L4b(*C),İRKM 153,C200 L4b(*C),446514.00,463551.00
TL,İRKM,29,37,50,34-203,İRKM 143 / C200 L4b(*C),İRKM 143,C200 L4b(*C),344409.00,357188.00
TL,İRKM,29,37,50,41-172,İRKM 123 / C200 L4b(*C),İRKM 123,C200 L4b(*C),253210.00,260819.00
TL,İRKM,29,37,50,97-214,İRKM 103 / C200 L4b(*C),İRKM 103,C200 L4b(*C),201898.00,207132.00
TL,İRKM,29,37,50,16-59,İRKM 153 / 225 S4,İRKM 153,225 S4,464298.00,481335.00
TL,İRKM,29,37,50,34-203,İRKM 143 / 225 S4,İRKM 143,225 S4,361411.00,374190.00
TL,İRKM,29,37,50,41-172,İRKM 123 / 225 S4,İRKM 123,225 S4,269954.00,277563.00
TL,İRKM,29,45,50,20-72,İRKM 153 / 225 M4,İRKM 153,225 M4,468167.00,485204.00
TL,İRKM,29,45,60,58-203,İRKM 143 / 225 M4,İRKM 143,225 M4,364189.00,376968.00
TL,İRKM,29,45,60,52-172,İRKM 123 / 225 M4,İRKM 123,225 M4,274416.00,282025.00
TL,İRKM,29,55,60,23-95,İRKM 153 / C225M4b(*C),İRKM 153,C225M4b(*C),527070.00,544107.00
TL,İRKM,29,55,75,52-203,İRKM 143 / C225M4b(*C),İRKM 143,C225M4b(*C),422620.00,435399.00
TL,İRKM,29,55,75,76-172,İRKM 123 / C225M4b(*C),İRKM 123,C225M4b(*C),336395.00,344004.00
TL,İRKM,29,55,75,23-95,İRKM 153 / 250 M4c,İRKM 153,250 M4c,539206.00,556243.00
TL,İRKM,29,55,75,52-62,İRKPM 143 / 250 M4c(*P),İRKPM 143,250 M4c(*P),452385.00,465164.00
TL,İRKM,29,55,75,58-203,İRKM 143 / 250 M4c,İRKM 143,250 M4c,432904.00,445683.00
TL,İRKM,29,75,75,33-113,İRKM 153 / 280 S4,İRKM 153,280 S4,623073.00,640110.00
TL,İRKM,29,75,100,69-203,İRKM 143 / 280 S4,İRKM 143,280 S4,514024.00,526803.00
TL,İRKM,29,90,100,37-113,İRKM 153 / 280 M4,İRKM 153,280 M4,645378.00,662415.00
TL,İRKM,29,90,120,83-203,İRKM 143 / 280 M4,İRKM 143,280 M4,535826.00,548605.00
TL,İRKM,30,110,150,59-113,İRKM 153 / 315 S4,İRKM 153,315 S4,790386.00,807423.00
TL,İRKM,30,132,160,59-113,İRKM 153 / 315 M4a,İRKM 153,315 M4a,849923.00,866960.00
TL,İRKM,30,160,220,72-113,İRKM 153 / 315 M4b,İRKM 153,315 M4b,909931.00,926968.00
TL,İRKM,30,185,250,79-113,İRKM 153 / 315 L4a,İRKM 153,315 L4a,968379.00,985416.00
TL,İRKM,30,200,275,95-113,İRKM 153 / 315 L4b,İRKM 153,315 L4b,1080007.00,1097044.00
TL,İRK,31,,,"17.387,00",İRK 42,İRK 42,,963.00,
TL,İRK,31,,,"1.174,00","1.016,00","1.016,00",,918.00,
TL,İRK,31,,,"18.040,00",İRK 43,İRK 43,,963.00,
TL,İRK,31,,,"1.174,00","1.016,00","1.016,00",,918.00,
TL,İRK,31,,,"17.639,00",İRK 52,İRK 52,,1165.00,
TL,İRK,31,,,"1.463,00","1.227,00","1.227,00",,963.00,
TL,İRK,31,,,"18.487,00",İRK 53,İRK 53,,1165.00,
TL,İRK,31,,,"1.463,00","1.227,00","1.227,00",,963.00,
TL,İRK,31,,,"22.629,00",İRK 63,İRK 63,,1432.00,
TL,İRK,31,,,"1.873,00","1.513,00","1.513,00",,1000.00,
TL,İRK,31,,,"32.586,00",İRK 63 İR 52,İRK 63 İR 52,,1432.00,
TL,İRK,31,,,"1.873,00","1.513,00","1.513,00",,1000.00,
TL,İRK,31,,,"36.091,00",İRK 73,İRK 73,,2150.00,
TL,İRK,31,,,"2.499,00","2.274,00","2.274,00",,1096.00,
TL,İRK,31,,,"42.643,00",İRK 74,İRK 74,,2150.00,
TL,İRK,31,,,"2.499,00","2.274,00","2.274,00",,1096.00,
TL,İRK,31,,,"48.612,00",İRK 73 İR 52,İRK 73 İR 52,,2150.00,
TL,İRK,31,,,"2.499,00","2.274,00","2.274,00",,1096.00,
TL,İRK,31,,,"49.054,00",İRK 73 İR 53,İRK 73 İR 53,,2150.00,
TL,İRK,31,,,"2.499,00","2.274,00","2.274,00",,1096.00,
TL,İRK,31,,,"54.145,00",İRK 83,İRK 83,,2339.00,
TL,İRK,31,,,"2.998,00","2.470,00","2.470,00",,1417.00,
TL,İRK,31,,,"64.503,00",İRK 84,İRK 84,,2339.00,
TL,İRK,31,,,"2.998,00","2.470,00","2.470,00",,1417.00,
TL,İRK,31,,,"71.847,00",İRK 83 İR 52,İRK 83 İR 52,,2339.00,
TL,İRK,31,,,"2.998,00","2.470,00","2.470,00",,1417.00,
TL,İRK,31,,,"72.437,00",İRK 83 İR 53,İRK 83 İR 53,,2339.00,
TL,İRK,31,,,"2.998,00","2.470,00","2.470,00",,1417.00,
